Row	station_id	date	t	qt	td	qtd	twet	qtwet	u	qu	tmin	qtmin	tmax	qtmax	dd	qdd	ff	qff	dd_max	qdd_max	ff_max	qff_max	dd_gust	qdd_gust	ff_gust	qff_gust	p	qp	p0	qp0	ppp	qppp	a	qa	ir	qir	rrr	qrrr	rrrt	qrrrt	rrr24	qrrr24	ix	qix	ww	qww	w1	qw1	w2	qw2	vv	qvv	sshn	qsshn	n	qn	h	qh	nh	qnh	cl	qcl	cm	qcm	ch	qch	Ns1	qNs1	C1	qC1	hs1	qhs1	Ns2	qNs2	C2	qC2	hs2	qhs2	Ns3	qNs3	C3	qC3	hs3	qhs3	Ns4	qNs4	C4	qC4	hs4	qhs4	radglo24	qradglo24	evt	qevt	tsoil	qtsoil	e	qe	esnow	qesnow	ess	qess	ss	qss	tusoil005	qtusoil005	tusoil010	qtusoil010	tusoil020	qtusoil020	tusoil030	qtusoil030	tusoil050	qtusoil050	tusoil100	qtusoil100	musoil005	qmusoil005	musoil010	qmusoil010	musoil020	qmusoil020	musoil030	qmusoil030	musoil050	qmusoil050	musoil070	qmusoil070	musoil100	qmusoil100	ew	qew	ews	qews	tmin_12h	qtmin_12h	tmax_12h	qtmax_12h	contentmessage
11-Smiley face	99369	2024-02-01 12:00:00		999999		999999		999999		999999		999999		999999	170	111515	1	111115		999999		999999		999999		999999		999999		999999		999999		999999	1	111555	3.0	111155	6	115555	2.8	111155	6	111555		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	AAXX 01121 99369 16/// /1701 1//// 2//// 3//// 4//// 5//// 60031 333 70028 555 1//// 29///=
12-Smiley face	99369	2024-02-01 13:00:00	-2.3	111115	-3.7	111115		999999		999999		999999		999999	0	111515	0	111115		999999		999999		999999		999999	1022.0	111115	794.0	111115		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	99369 26/// /0000 11023 21037 37940 40220 56009 333 69935 555 11027 29090
13-Smiley face	99369	2024-02-01 14:00:00	-2.9	111115	-4.2	111115		999999		999999		999999		999999	0	111515	0	111115		999999		999999		999999		999999	1022.8	111115	794.0	111115		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	99369 26/// /0000 11029 21042 37940 40228 55004 333 69935 555 11033 29091
14-Smiley face	99369	2024-02-01 15:00:00	-3.3	111115	-4.4	111115	-3.5	111115	93	111515	-4.2	111155	0.5	313155	200	111515	1	111115		999999		999999		999999		999999	1022.5	111115	794.1	111115	0.0	111515	4	111515	4	111555		999999		999999	3.8	111155	6	111555		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	0.4	115155	3.9	115155	3.9	115155	3.9	115155	3.9	115155	3.9	115155		999999		999999		999999		999999		999999		999999		999999	4.45	115555	4.79	115555	-4.2	115555	0.5	115555	AAXX 01151 99369 46/// /2001 11033 21044 37941 40225 54000 333 10005 21042 70038 555 11035 29092 66666 00004 10039 20039 30039 50039 90039=
15-Smiley face	99369	2024-02-01 18:00:00	-3.6	111115	-4.5	111115	-3.8	111115	92	111515		999999		999999	180	111515	1	111115		999999		999999		999999		999999	1020.6	111115	793.2	111115	-0.9	111515	8	111515	1	111555	1.0	111155	6	115555	4.0	111155	6	111555		999999		999999		999999		999999	0.7	111155		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	4.33	115555	4.68	115555		999999		999999	AAXX 01181 99369 16/// /1801 11036 21045 37932 40206 58009 60011 333 55007 70040 555 11038 29093=
16-Smiley face	99369	2024-02-01 21:00:00	-4.1	111115	-5.0	111115	-4.2	111115	94	111515		999999		999999	250	111515	1	111115	170.0	313555	2.0	313155	170.0	212555	3.0	212155	1018.5	111115	791.5	111115	-1.7	111515	7	111515	4	111555		999999		999999	4.8	111155	6	111555		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	4.24	115555	4.51	115555		999999		999999	AAXX 01211 99369 46/// /2501 11041 21050 37915 40185 57017 333 70048 555 11042 29094 31702 41703=
17-Smiley face	99369	2024-02-02 00:00:00	-4.5	111115	-5.3	111115	-4.6	111115	94	111515		999999		999999	250	111515	2	111115		999999		999999		999999		999999	1016.4	111115	789.5	111115	-2.0	111515	7	111515	1	111555	0.8	111155	6	115555	4.8	111155	6	111555		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	4.1	115555	4.38	115555		999999		999999	AAXX 02001 99369 16/// /2502 11045 21053 37895 40164 57020 69981 333 70048 555 11046 29094=
18-Smiley face	99369	2024-02-02 03:00:00	-4.1	111115	-5.0	111115	-4.2	111115	94	111515	-4.6	111155	-2.9	111155	10	111515	1	111115		999999		999999		999999		999999	1015.2	111115	788.2	111115	-1.3	111515	7	111515	4	111555		999999		999999	5.8	111155	6	111555		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	1.2	115155	1.2	115155	1.2	115155	1.2	115155	1.2	115155	1.2	115155		999999		999999		999999		999999		999999		999999		999999	4.24	115555	4.51	115555	-4.6	115555	-2.9	115555	AAXX 02031 99369 46/// /0101 11041 21050 37882 40152 57013 333 11029 21046 70058 555 11042 29093 66666 00012 10012 20012 30012 50012 90012=
19-Smiley face	99369	2024-02-02 04:00:00	-4.7	111115	-5.6	111115		999999		999999		999999		999999	330	111515	2	111115		999999		999999		999999		999999	1014.9	111115	787.9	111115		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	99369 26/// /3301 11047 21056 37879 40149 57009 333 69955 555 11048 29093
20-Smiley face	99369	2024-02-02 05:00:00	-4.4	111115	-5.9	111115		999999		999999		999999		999999	60	111515	4	111115		999999		999999		999999		999999	1015.1	111115	788.1	111115		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	99369 26/// /0602 11044 21059 37881 40151 55003 333 69925 555 11047 29089
21-Smiley face	99369	2024-02-02 06:00:00		999999		999999		999999		999999		999999		999999	150	111515	1	111115		999999		999999		999999		999999		999999		999999		999999		999999	1	111555	2.0	111155	6	115555	6.6	111155	6	111555		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	AAXX 02061 99369 16/// /1501 1//// 2//// 3//// 4//// 5//// 60021 333 3//// 5//// 70066 555 1//// 29///=
22-Smiley face	99369	2024-02-02 07:00:00	-1.3	313115	-4.4	111115		999999		999999		999999		999999	160	111515	2	111115		999999		999999		999999		999999	1013.7	111115	788.0	111115		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	99369 26/// /1601 11013 21044 37880 40137 50001 333 69925 555 11024 29079
23-Smiley face	99369	2024-02-02 08:00:00	-2.7	111115	-6.4	111115		999999		999999		999999		999999	300	111515	4	111115		999999		999999		999999		999999	1014.1	111115	787.7	111115		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	99369 26/// /3002 11027 21064 37877 40141 55004 333 69915 555 11038 29076
24-Smiley face	99369	2024-02-02 09:00:00	-2.3	111115	-6.9	111115	-3.7	111115	72	111515		999999		999999	320	111515	1	111115		999999		999999		999999		999999	1013.6	111115	787.3	111115	-0.6	111515	8	111515	4	111555		999999		999999	5.7	111155	6	111555		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	0.5	115155	2.6	115155	2.6	115155	2.6	115155	2.6	115155	2.6	115155		999999		999999		999999		999999		999999		999999		999999	3.69	115555	5.16	115555		999999		999999	AAXX 02091 99369 46/// /3201 11023 21069 37873 40136 58006 333 70057 555 11037 29071 66666 00005 10026 20026 30026 50026 90026=
25-Smiley face	99369	2024-02-02 10:00:00	-2.8	111115	-7.2	111115		999999		999999		999999		999999	260	313515	8	313115		999999		999999		999999		999999	1013.3	111115	786.8	111115		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	99369 26/// /2604 11028 21072 37868 40133 57012 333 6//// 555 11042 29072
26-Smiley face	99369	2024-02-02 11:00:00	-2.5	111115	-9.2	111115		999999		999999		999999		999999	330	313515	12	313115		999999		999999		999999		999999	1013.0	111115	786.8	111115		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	99369 26/// /3306 11025 21092 37868 40130 56009 333 60005 555 11045 29060
27-Smiley face	99369	2024-02-02 12:00:00	-2.6	111115	-9.6	111115	-4.7	111115	58	111515		999999		999999	310	111515	5	111115		999999		999999		999999		999999	1013.2	111115	786.8	111115	-0.5	111515	6	111515	1	111555	0.3	313155	6	115555	4.5	313155	6	111555		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	2.93	115555	5.05	115555		999999		999999	AAXX 02121 99369 16/// /3105 11026 21096 37868 40132 56005 69931 333 70045 555 11047 29058=
28-Smiley face	99369	2024-02-02 13:00:00	-3.6	111115	-10.2	111115		999999		999999		999999		999999	310	313515	10	313115		999999		999999		999999		999999	1014.0	111115	787.0	111115		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	99369 26/// /3105 11036 21102 37870 40140 53002 333 60005 555 11054 29060
29-Smiley face	99369	2024-02-02 14:00:00	-4.2	111115	-11.3	111115		999999		999999		999999		999999	310	313515	10	313115		999999		999999		999999		999999	1014.4	111115	787.1	111115		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	99369 26/// /3105 11042 21113 37871 40144 51003 333 60005 555 11061 29058
30-Smiley face	99369	2024-02-02 15:00:00	-5.2	313115	-8.7	111115	-6.1	111115	76	111515	-4.8	313155	-1.4	313155	50	111515	2	111115		999999		999999		999999		999999	1015.9	111115	787.7	111115	0.9	111515	2	111515	4	111555		999999		999999	3.5	111155	6	111555		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	2.6	115155	2.6	115155	2.6	115155	2.6	115155	2.6	115155	2.6	115155		999999		999999		999999		999999		999999		999999		999999	3.14	115555	4.15	115555	-4.8	115555	-1.4	115555	AAXX 02151 99369 46/// /0502 11052 21087 37877 40159 52009 333 11014 21048 70035 555 11061 29076 66666 00026 10026 20026 30026 50026 90026=
31-Smiley face	99369	2024-02-02 18:00:00	-5.7	111115	-11.5	111115	-7.1	111115	64	111515		999999		999999	60	111515	2	111115		999999		999999		999999		999999	1016.4	111115	788.6	111115	0.9	111515	2	111515	1	111555	0.0	111155	6	115555	3.4	111155	6	111555		999999		999999		999999		999999	0.3	111155		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	2.55	115555	4.0	115555		999999		999999	AAXX 02181 99369 16/// /0602 11057 21115 37886 40164 52009 60001 333 55003 70034 555 11071 29064=
32-Smiley face	99369	2024-02-02 21:00:00	-5.4	111115	-10.9	111115	-6.8	111115	65	111515		999999		999999	10	111515	1	111115	310.0	313555	5.0	313155	300.0	212555	8.0	212155	1015.8	111115	788.6	111115	0.0	111515	4	111515	4	111555		999999		999999	2.6	111155	6	111555		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	2.64	115555	4.09	115555		999999		999999	AAXX 02211 99369 46/// /0101 11054 21109 37886 40158 54000 333 70026 555 11068 29065 33105 43008=
33-Smiley face	99369	2024-02-03 00:00:00	-6.9	111115	-11.5	111115	-7.9	111115	70	111515		999999		999999	110	111515	1	111115		999999		999999		999999		999999	1017.4	111115	789.0	111115	0.4	111515	0	111515	1	111555	0.0	111155	6	115555	2.6	111155	6	111555		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	2.56	115555	3.65	115555		999999		999999	AAXX 03001 99369 16/// /1101 11069 21115 37890 40174 50004 60001 333 70026 555 11079 29070=
34-Smiley face	99369	2024-02-03 03:00:00	-7.0	111115	-12.3	111115	-8.2	111115	65	111515	-7.6	111155	-4.7	111155	200	111515	1	111115		999999		999999		999999		999999	1020.2	111115	790.2	111115	1.2	111515	2	111515	4	111555		999999		999999	1.4	111155	6	111555		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	0.1	115155	0.0	115155	0.0	115155	0.0	115155	0.0	115155	0.0	115155		999999		999999		999999		999999		999999		999999		999999	2.36	115555	3.62	115555	-7.6	115555	-4.7	115555	AAXX 03031 99369 46/// /2001 11070 21123 37902 40202 52012 333 11047 21076 70014 555 11082 29066 66666 00001 10000 20000 30000 50000 90000=
35-Smiley face	99369	2024-02-03 04:00:00	-8.2	111115	-13.5	111115		999999		999999		999999		999999	0	111515	0	111115		999999		999999		999999		999999	1022.1	111115	791.3	111115		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	99369 26/// /0000 11082 21135 37913 40221 52021 333 60005 555 11093 29066
36-Smiley face	99369	2024-02-03 05:00:00	-4.5	111115	-12.8	111115		999999		999999		999999		999999	190	111515	2	111115		999999		999999		999999		999999	1021.6	111115	792.3	111115		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	99369 26/// /1901 11045 21128 37923 40216 52024 333 60005 555 11066 29052
37-Smiley face	99369	2024-02-03 06:00:00	-2.9	111115	-12.2	111115	-5.5	111115	48	111515		999999		999999	260	111515	2	111115		999999		999999		999999		999999	1022.0	111115	792.9	111115	2.7	111515	2	111515	1	111555	0.0	111155	6	115555	0.3	111155	6	111555		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	2.36	115555	4.94	115555		999999		999999	AAXX 03061 99369 16/// /2602 11029 21122 37929 40220 52027 60001 333 3//// 5//// 70003 555 11055 29048=
38-Smiley face	99369	2024-02-03 07:00:00	-1.7	111115	-11.4	111115		999999		999999		999999		999999	260	111515	2	111115		999999		999999		999999		999999	1022.9	111115	793.3	111115		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	99369 26/// /2601 11017 21114 37933 40229 52020 333 60005 555 11046 29048
39-Smiley face	99369	2024-02-03 08:00:00	-0.8	111115	-9.4	111115		999999		999999		999999		999999	200	111515	6	111115		999999		999999		999999		999999	1021.1	111115	793.4	111115		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	99369 26/// /2003 11008 21094 37934 40211 51011 333 60005 555 11035 29052
